id,latitude,longitude,neighbourhood,price,reviews_per_month,number_of_reviews,availability_ratio,avg_calendar_price,best_maintenance_month,total_reviews,complaint_count,complaint_ratio,urgency_score,neighbourhood_weight,aco_priority
12078760,39.8894,116.40412,Dongcheng,235,2.01,74,0.0,236.0,6.0,74.0,1.0,0.013513513513513514,0.0045045045045045045,1.0,0.03340360932601492
27265713,39.7123,116.31883,,396,1.82,16,0.21643835616438356,398.5835616438356,4.0,16.0,0.0,0.0,0.0,1.0,0.033386475155489266
31242865,39.88775,116.46593,,161,1.89,6,0.17534246575342466,159.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0333857104629754
25385543,39.927620000000005,116.31194,Haidian,517,1.12,12,0.9726027397260274,551.3068493150685,4.0,12.0,0.0,0.0,0.0,1.0,0.03337521627847657
31081087,39.930040000000005,116.46681,,181,1.13,4,0.9643835616438357,216.95890410958904,4.0,4.0,0.0,0.0,0.0,1.0,0.03337066227262649
23031552,39.87141,116.43363,Dongcheng,161,2.22,32,0.0,160.84931506849315,6.0,32.0,0.0,0.0,0.0,1.0,0.03336471083009456
31114105,40.07452,116.36277,Changping,597,1.17,4,0.8849315068493151,599.0,5.0,4.0,0.0,0.0,0.0,1.0,0.033353996409860726
19047056,40.38854,116.83118,,785,1.76,33,0.2493150684931507,820.6027397260274,4.0,33.0,0.0,0.0,0.0,1.0,0.03334447209934149
22295400,39.93228,116.25108,Haidian,268,1.88,30,0.1780821917808219,442.46301369863016,4.0,30.0,0.0,0.0,0.0,1.0,0.03333802782318206
30333324,39.93505,116.44419,,597,1.59,7,0.3863013698630137,656.9369863013699,4.0,7.0,0.0,0.0,0.0,1.0,0.03333659346003448
30717430,39.89792,116.4703,,289,1.13,4,0.958904109589041,293.55068493150685,4.0,4.0,0.0,0.0,0.0,1.0,0.033329581877504566
32398516,39.92458,116.45942,,242,1.8,3,0.23013698630136986,249.7835616438356,4.0,3.0,0.0,0.0,0.0,1.0,0.033317256626619954
22173828,39.9397,116.42929,Dongcheng,255,1.32,21,0.6767123287671233,260.06849315068496,5.0,21.0,0.0,0.0,0.0,1.0,0.03330867483493544
15154394,40.00652,116.34877,Haidian,262,1.97,61,0.1232876712328767,302.95342465753424,4.0,61.0,0.0,0.0,0.0,1.0,0.03330627195662591
23790373,40.0018,116.45688,,617,1.65,21,0.33424657534246577,602.5205479452055,5.0,21.0,0.0,0.0,0.0,1.0,0.033305150097699784
26615979,39.84662,116.31884,,336,1.12,10,0.9726027397260274,349.07671232876714,4.0,10.0,0.0,0.0,0.0,1.0,0.03328822906328197
18527221,39.97328,116.41912,,154,1.16,27,0.9095890410958904,209.75342465753425,4.0,27.0,0.0,0.0,0.0,1.0,0.03328804500308714
23032532,39.78972,116.49921,,396,1.23,18,0.7945205479452054,479.7260273972603,4.0,18.0,0.0,0.0,0.0,1.0,0.033286077750989906
18552093,39.89614,116.40802,Dongcheng,470,1.24,29,0.2410958904109589,473.5890410958904,4.0,29.0,1.0,0.034482758620689655,0.011494252873563218,1.0,0.033282668394265795
30698037,39.87617,116.44991,,181,1.74,7,0.27123287671232876,260.5013698630137,4.0,7.0,0.0,0.0,0.0,1.0,0.03325327741255691
24649803,39.89739,116.54813,,295,2.02,24,0.09315068493150686,276.986301369863,4.0,24.0,0.0,0.0,0.0,1.0,0.0332511974203125
30914084,39.93142,116.41523,Dongcheng,497,1.86,7,0.18356164383561643,797.2356164383561,4.0,7.0,0.0,0.0,0.0,1.0,0.033246441558524124
31654200,39.89191,116.47323,,376,1.14,3,0.9342465753424658,723.758904109589,5.0,3.0,0.0,0.0,0.0,1.0,0.03324301869685413
27210533,39.95242,116.36544,Xicheng,235,1.51,13,0.46301369863013697,238.65753424657535,4.0,13.0,0.0,0.0,0.0,1.0,0.03323721604485529
31374231,39.95467,116.29814,Haidian,87,2.0,2,0.10684931506849316,118.23013698630137,4.0,2.0,0.0,0.0,0.0,1.0,0.03323437220637818
17839895,39.88904,116.36673,Xicheng,389,1.12,28,0.9671232876712329,397.41917808219176,4.0,28.0,0.0,0.0,0.0,1.0,0.033221162400959285
6767658,39.97127,116.47788,,490,0.22,10,0.23835616438356164,488.0,4.0,10.0,1.0,0.1,0.03333333333333333,1.0,0.033203004724606335
20582830,39.8975,116.41395,Dongcheng,295,1.13,21,0.9506849315068493,371.972602739726,4.0,21.0,0.0,0.0,0.0,1.0,0.03319261445257527
29671980,40.12193,116.61299,,101,2.21,12,0.0,158.0,6.0,12.0,0.0,0.0,0.0,1.0,0.03318557485933059
16142017,39.98598,116.30744,Haidian,336,0.53,15,0.4054794520547945,348.7671232876712,5.0,15.0,1.0,0.06666666666666667,0.02222222222222222,1.0,0.03318461614791883
19793835,39.72298,116.17283,Fangshan,228,1.49,31,0.4794520547945205,228.57534246575344,4.0,31.0,0.0,0.0,0.0,1.0,0.03316213686392831
31614004,39.91882,116.437,,302,1.11,3,0.9835616438356164,344.0027397260274,4.0,3.0,0.0,0.0,0.0,1.0,0.033158011922631625
31679157,39.89631,116.33576,Xicheng,356,1.13,3,0.9452054794520548,369.67123287671234,4.0,3.0,0.0,0.0,0.0,1.0,0.03312854385206528
25023226,39.94372,116.40615,Dongcheng,282,2.2,22,0.0,350.56986301369864,6.0,22.0,0.0,0.0,0.0,1.0,0.03312203434073902
